model,domain,seed,method,ratio,calibration_tokens,calibration_positions,ppl,nll,predicted_tokens,windows,sequence_length
llama2_7b,c4,0,fc_ls,0.2,262144,all_128x2048,6.803972989403049,647647.4770507812,337755,165,2048
llama2_7b,c4,0,flap,0.2,262144,all_128x2048,6.8164545633690805,648266.5053710938,337755,165,2048
llama2_7b,c4,0,sobp,0.2,262144,all_128x2048,6.973333552932774,655951.7502441406,337755,165,2048
llama2_7b,c4,0,fand,0.2,262144,all_128x2048,6.753738144182323,645144.525390625,337755,165,2048
llama2_7b,c4,0,slimllm,0.2,262144,all_128x2048,6.514601795242188,632968.4362792969,337755,165,2048
llama2_7b,c4,0,wanda,0.2,262144,all_128x2048,6.834560368342034,649162.4577636719,337755,165,2048
llama2_7b,c4,0,fc_ls,0.3,262144,all_128x2048,7.884314994719403,697421.9711914062,337755,165,2048
llama2_7b,c4,0,flap,0.3,262144,all_128x2048,7.963406329911475,700793.2717285156,337755,165,2048
llama2_7b,c4,0,sobp,0.3,262144,all_128x2048,8.11455739085979,707144.017578125,337755,165,2048
llama2_7b,c4,0,fand,0.3,262144,all_128x2048,8.079477884756345,705680.7260742188,337755,165,2048
llama2_7b,c4,0,slimllm,0.3,262144,all_128x2048,7.601104877679891,685066.3100585938,337755,165,2048
llama2_7b,c4,0,wanda,0.3,262144,all_128x2048,8.04439480789787,704210.9174804688,337755,165,2048
llama2_7b,c4,0,fc_ls,0.4,262144,all_128x2048,9.886922531165839,773868.6223144531,337755,165,2048
llama2_7b,c4,0,flap,0.4,262144,all_128x2048,10.21249487174227,784811.5568847656,337755,165,2048
llama2_7b,c4,0,sobp,0.4,262144,all_128x2048,9.923442290209925,775113.904296875,337755,165,2048
llama2_7b,c4,0,fand,0.4,262144,all_128x2048,10.412690805259514,791368.5209960938,337755,165,2048
llama2_7b,c4,0,slimllm,0.4,262144,all_128x2048,9.746894063626176,769050.8002929688,337755,165,2048
llama2_7b,c4,0,wanda,0.4,262144,all_128x2048,10.5844943294395,796895.8137207031,337755,165,2048
llama2_7b,c4,0,fc_ls,0.5,262144,all_128x2048,13.527810608777596,879766.5295410156,337755,165,2048
llama2_7b,c4,0,flap,0.5,262144,all_128x2048,14.107745181275773,893944.2478027344,337755,165,2048
llama2_7b,c4,0,sobp,0.5,262144,all_128x2048,13.285994403605754,873674.3806152344,337755,165,2048
llama2_7b,c4,0,fand,0.5,262144,all_128x2048,14.829370911978897,910793.4211425781,337755,165,2048
llama2_7b,c4,0,slimllm,0.5,262144,all_128x2048,14.230785804548004,896877.2048339844,337755,165,2048
llama2_7b,c4,0,wanda,0.5,262144,all_128x2048,15.241201653685602,920045.4291992188,337755,165,2048
llama2_7b,c4,1,fc_ls,0.2,262144,all_128x2048,6.816365934161818,648262.1137695312,337755,165,2048
llama2_7b,c4,1,flap,0.2,262144,all_128x2048,6.9074495700460465,652745.4741210938,337755,165,2048
llama2_7b,c4,1,sobp,0.2,262144,all_128x2048,6.941044927669522,654384.2114257812,337755,165,2048
llama2_7b,c4,1,fand,0.2,262144,all_128x2048,6.729737282835192,643942.1025390625,337755,165,2048
llama2_7b,c4,1,slimllm,0.2,262144,all_128x2048,6.49496905797667,631949.0236816406,337755,165,2048
llama2_7b,c4,1,wanda,0.2,262144,all_128x2048,6.894933876006351,652132.9365234375,337755,165,2048
llama2_7b,c4,1,fc_ls,0.3,262144,all_128x2048,7.906025544661651,698350.748046875,337755,165,2048
llama2_7b,c4,1,flap,0.3,262144,all_128x2048,8.066799947951825,705150.3205566406,337755,165,2048
llama2_7b,c4,1,sobp,0.3,262144,all_128x2048,8.016802830785867,703050.4389648438,337755,165,2048
llama2_7b,c4,1,fand,0.3,262144,all_128x2048,8.043019677039503,704153.17578125,337755,165,2048
llama2_7b,c4,1,slimllm,0.3,262144,all_128x2048,7.539579373001922,682321.3005371094,337755,165,2048
llama2_7b,c4,1,wanda,0.3,262144,all_128x2048,8.194447700783284,710453.056640625,337755,165,2048
llama2_7b,c4,1,fc_ls,0.4,262144,all_128x2048,9.867415177910626,773201.5578613281,337755,165,2048
llama2_7b,c4,1,flap,0.4,262144,all_128x2048,10.177867025824437,783664.3737792969,337755,165,2048
llama2_7b,c4,1,sobp,0.4,262144,all_128x2048,9.94935678471588,775994.7822265625,337755,165,2048
llama2_7b,c4,1,fand,0.4,262144,all_128x2048,10.414734729888947,791434.8129882812,337755,165,2048
llama2_7b,c4,1,slimllm,0.4,262144,all_128x2048,9.711824665347683,767833.3637695312,337755,165,2048
llama2_7b,c4,1,wanda,0.4,262144,all_128x2048,10.532666772563834,795237.9155273438,337755,165,2048
llama2_7b,c4,1,fc_ls,0.5,262144,all_128x2048,12.832029691444692,861931.9689941406,337755,165,2048
llama2_7b,c4,1,flap,0.5,262144,all_128x2048,13.084180222883438,868504.5187988281,337755,165,2048
llama2_7b,c4,1,sobp,0.5,262144,all_128x2048,13.249334173957456,872741.1203613281,337755,165,2048
llama2_7b,c4,1,fand,0.5,262144,all_128x2048,14.630090901157642,906223.830078125,337755,165,2048
llama2_7b,c4,1,slimllm,0.5,262144,all_128x2048,14.105529345968684,893891.1940917969,337755,165,2048
llama2_7b,c4,1,wanda,0.5,262144,all_128x2048,13.929853931345662,889658.2556152344,337755,165,2048
llama2_7b,c4,2,fc_ls,0.2,262144,all_128x2048,6.703489117274411,642622.1723632812,337755,165,2048
llama2_7b,c4,2,flap,0.2,262144,all_128x2048,6.765619832326762,645738.2075195312,337755,165,2048
llama2_7b,c4,2,sobp,0.2,262144,all_128x2048,6.721354651904414,643521.1291503906,337755,165,2048
llama2_7b,c4,2,fand,0.2,262144,all_128x2048,6.701272790532793,642510.484375,337755,165,2048
llama2_7b,c4,2,slimllm,0.2,262144,all_128x2048,6.492063197376856,631797.8776855469,337755,165,2048
llama2_7b,c4,2,wanda,0.2,262144,all_128x2048,6.805076168342658,647702.2353515625,337755,165,2048
llama2_7b,c4,2,fc_ls,0.3,262144,all_128x2048,7.794350557349254,693545.8413085938,337755,165,2048
llama2_7b,c4,2,flap,0.3,262144,all_128x2048,7.972761309529367,701189.8151855469,337755,165,2048
llama2_7b,c4,2,sobp,0.3,262144,all_128x2048,7.974994966854251,701284.427734375,337755,165,2048
llama2_7b,c4,2,fand,0.3,262144,all_128x2048,8.048987945822278,704403.7116699219,337755,165,2048
llama2_7b,c4,2,slimllm,0.3,262144,all_128x2048,7.558751837002697,683179.0905761719,337755,165,2048
llama2_7b,c4,2,wanda,0.3,262144,all_128x2048,8.292000049596002,714450.1794433594,337755,165,2048
llama2_7b,c4,2,fc_ls,0.4,262144,all_128x2048,9.778988195412602,770161.1176757812,337755,165,2048
llama2_7b,c4,2,flap,0.4,262144,all_128x2048,10.095103801570758,780906.6281738281,337755,165,2048
llama2_7b,c4,2,sobp,0.4,262144,all_128x2048,9.851568314664446,772658.6943359375,337755,165,2048
llama2_7b,c4,2,fand,0.4,262144,all_128x2048,10.63365624604713,798460.9560546875,337755,165,2048
llama2_7b,c4,2,slimllm,0.4,262144,all_128x2048,9.750964959921067,769191.837890625,337755,165,2048
llama2_7b,c4,2,wanda,0.4,262144,all_128x2048,10.58586929529614,796939.6865234375,337755,165,2048
llama2_7b,c4,2,fc_ls,0.5,262144,all_128x2048,12.949914416759695,865020.67578125,337755,165,2048
llama2_7b,c4,2,flap,0.5,262144,all_128x2048,13.489240991339933,878802.1689453125,337755,165,2048
llama2_7b,c4,2,sobp,0.5,262144,all_128x2048,13.707493749931906,884223.2272949219,337755,165,2048
llama2_7b,c4,2,fand,0.5,262144,all_128x2048,15.308547310035273,921534.5654296875,337755,165,2048
llama2_7b,c4,2,slimllm,0.5,262144,all_128x2048,14.0844053572681,893385.00390625,337755,165,2048
llama2_7b,c4,2,wanda,0.5,262144,all_128x2048,14.503508991516028,903288.8037109375,337755,165,2048
llama2_7b,c4,3,fc_ls,0.2,262144,all_128x2048,6.722105854231915,643558.8757324219,337755,165,2048
llama2_7b,c4,3,flap,0.2,262144,all_128x2048,6.761106026876187,645512.79296875,337755,165,2048
llama2_7b,c4,3,sobp,0.2,262144,all_128x2048,6.8855046212560165,651670.7192382812,337755,165,2048
llama2_7b,c4,3,fand,0.2,262144,all_128x2048,6.777105637614698,646311.1186523438,337755,165,2048
llama2_7b,c4,3,slimllm,0.2,262144,all_128x2048,6.507319999957919,632590.6943359375,337755,165,2048
llama2_7b,c4,3,wanda,0.2,262144,all_128x2048,6.826629525340955,648770.2983398438,337755,165,2048
llama2_7b,c4,3,fc_ls,0.3,262144,all_128x2048,7.862328454814597,696478.77734375,337755,165,2048
llama2_7b,c4,3,flap,0.3,262144,all_128x2048,7.984335736472912,701679.7941894531,337755,165,2048
llama2_7b,c4,3,sobp,0.3,262144,all_128x2048,8.003260826612609,702479.419921875,337755,165,2048
llama2_7b,c4,3,fand,0.3,262144,all_128x2048,8.124694340792301,707565.6879882812,337755,165,2048
llama2_7b,c4,3,slimllm,0.3,262144,all_128x2048,7.599813895952039,685008.9404296875,337755,165,2048
llama2_7b,c4,3,wanda,0.3,262144,all_128x2048,8.142380622761607,708300.1325683594,337755,165,2048
llama2_7b,c4,3,fc_ls,0.4,262144,all_128x2048,9.688710615661178,767028.5520019531,337755,165,2048
llama2_7b,c4,3,flap,0.4,262144,all_128x2048,9.972002487931382,776762.671875,337755,165,2048
llama2_7b,c4,3,sobp,0.4,262144,all_128x2048,9.713639892348565,767896.4873046875,337755,165,2048
llama2_7b,c4,3,fand,0.4,262144,all_128x2048,10.46923912722002,793197.8083496094,337755,165,2048
llama2_7b,c4,3,slimllm,0.4,262144,all_128x2048,9.760398718952748,769518.4475097656,337755,165,2048
llama2_7b,c4,3,wanda,0.4,262144,all_128x2048,10.366408143648325,789863.9104003906,337755,165,2048
llama2_7b,c4,3,fc_ls,0.5,262144,all_128x2048,13.226265476465956,872152.5354003906,337755,165,2048
llama2_7b,c4,3,flap,0.5,262144,all_128x2048,13.989654317130492,891105.1228027344,337755,165,2048
llama2_7b,c4,3,sobp,0.5,262144,all_128x2048,12.918402939563704,864197.8032226562,337755,165,2048
llama2_7b,c4,3,fand,0.5,262144,all_128x2048,14.70327468751517,907909.1628417969,337755,165,2048
llama2_7b,c4,3,slimllm,0.5,262144,all_128x2048,14.078470131588162,893242.642578125,337755,165,2048
llama2_7b,c4,3,wanda,0.5,262144,all_128x2048,14.921620897272687,912888.0063476562,337755,165,2048
llama2_7b,c4,4,fc_ls,0.2,262144,all_128x2048,6.716990341598603,643301.7468261719,337755,165,2048
llama2_7b,c4,4,flap,0.2,262144,all_128x2048,6.730688214681783,643989.8249511719,337755,165,2048
llama2_7b,c4,4,sobp,0.2,262144,all_128x2048,6.922731337403124,653491.8845214844,337755,165,2048
llama2_7b,c4,4,fand,0.2,262144,all_128x2048,6.765972220470718,645755.7990722656,337755,165,2048
llama2_7b,c4,4,slimllm,0.2,262144,all_128x2048,6.501457301060948,632286.2604980469,337755,165,2048
llama2_7b,c4,4,wanda,0.2,262144,all_128x2048,6.81211834599357,648051.5776367188,337755,165,2048
llama2_7b,c4,4,fc_ls,0.3,262144,all_128x2048,7.909626376328848,698504.544921875,337755,165,2048
llama2_7b,c4,4,flap,0.3,262144,all_128x2048,8.018917474846408,703139.5190429688,337755,165,2048
llama2_7b,c4,4,sobp,0.3,262144,all_128x2048,8.014985406628753,702973.8605957031,337755,165,2048
llama2_7b,c4,4,fand,0.3,262144,all_128x2048,8.10504964183697,706748.0412597656,337755,165,2048
llama2_7b,c4,4,slimllm,0.3,262144,all_128x2048,7.593361578429295,684722.0612792969,337755,165,2048
llama2_7b,c4,4,wanda,0.3,262144,all_128x2048,8.144258405735629,708378.0161132812,337755,165,2048
llama2_7b,c4,4,fc_ls,0.4,262144,all_128x2048,9.928823115655034,775296.9968261719,337755,165,2048
llama2_7b,c4,4,flap,0.4,262144,all_128x2048,10.225869904637948,785253.6162109375,337755,165,2048
llama2_7b,c4,4,sobp,0.4,262144,all_128x2048,9.829959436192146,771917.0334472656,337755,165,2048
llama2_7b,c4,4,fand,0.4,262144,all_128x2048,10.40253571999473,791038.9611816406,337755,165,2048
llama2_7b,c4,4,slimllm,0.4,262144,all_128x2048,9.76221844523665,769581.4125976562,337755,165,2048
llama2_7b,c4,4,wanda,0.4,262144,all_128x2048,10.587098034777723,796978.888671875,337755,165,2048
llama2_7b,c4,4,fc_ls,0.5,262144,all_128x2048,12.990764820231004,866084.4443359375,337755,165,2048
llama2_7b,c4,4,flap,0.5,262144,all_128x2048,13.578000027001838,881017.3127441406,337755,165,2048
llama2_7b,c4,4,sobp,0.5,262144,all_128x2048,13.514473918428417,879433.3820800781,337755,165,2048
llama2_7b,c4,4,fand,0.5,262144,all_128x2048,14.686927918415353,907533.4455566406,337755,165,2048
llama2_7b,c4,4,slimllm,0.5,262144,all_128x2048,14.205482262017588,896276.11328125,337755,165,2048
llama2_7b,c4,4,wanda,0.5,262144,all_128x2048,14.356029943538223,899836.7583007812,337755,165,2048
llama2_7b,c4,5,fc_ls,0.2,262144,all_128x2048,6.695348738537481,642211.7705078125,337755,165,2048
llama2_7b,c4,5,flap,0.2,262144,all_128x2048,6.714301295932749,643166.5046386719,337755,165,2048
llama2_7b,c4,5,sobp,0.2,262144,all_128x2048,6.988153920476673,656668.81640625,337755,165,2048
llama2_7b,c4,5,fand,0.2,262144,all_128x2048,6.786194088240658,646763.7622070312,337755,165,2048
llama2_7b,c4,5,slimllm,0.2,262144,all_128x2048,6.514868629915622,632982.2702636719,337755,165,2048
llama2_7b,c4,5,wanda,0.2,262144,all_128x2048,6.712937015336287,643097.869140625,337755,165,2048
llama2_7b,c4,5,fc_ls,0.3,262144,all_128x2048,8.035987772803526,703857.751953125,337755,165,2048
llama2_7b,c4,5,flap,0.3,262144,all_128x2048,8.110635726936664,706980.7453613281,337755,165,2048
llama2_7b,c4,5,sobp,0.3,262144,all_128x2048,8.097075271320765,706415.568359375,337755,165,2048
llama2_7b,c4,5,fand,0.3,262144,all_128x2048,8.126678086284477,707648.1450195312,337755,165,2048
llama2_7b,c4,5,slimllm,0.3,262144,all_128x2048,7.603272657214441,685162.6215820312,337755,165,2048
llama2_7b,c4,5,wanda,0.3,262144,all_128x2048,8.21704230991647,711383.0693359375,337755,165,2048
llama2_7b,c4,5,fc_ls,0.4,262144,all_128x2048,9.944763230047693,775838.8068847656,337755,165,2048
llama2_7b,c4,5,flap,0.4,262144,all_128x2048,10.308635226925185,787976.3068847656,337755,165,2048
llama2_7b,c4,5,sobp,0.4,262144,all_128x2048,10.306011764413917,787890.3400878906,337755,165,2048
llama2_7b,c4,5,fand,0.4,262144,all_128x2048,10.483950057994404,793672.07421875,337755,165,2048
llama2_7b,c4,5,slimllm,0.4,262144,all_128x2048,9.749189951753761,769130.3493652344,337755,165,2048
llama2_7b,c4,5,wanda,0.4,262144,all_128x2048,10.589991942454386,797071.1989746094,337755,165,2048
llama2_7b,c4,5,fc_ls,0.5,262144,all_128x2048,13.052322134327431,867681.1313476562,337755,165,2048
llama2_7b,c4,5,flap,0.5,262144,all_128x2048,13.715612791754078,884423.22265625,337755,165,2048
llama2_7b,c4,5,sobp,0.5,262144,all_128x2048,13.817489850190777,886922.7333984375,337755,165,2048
llama2_7b,c4,5,fand,0.5,262144,all_128x2048,15.33991986163381,922226.0349121094,337755,165,2048
llama2_7b,c4,5,slimllm,0.5,262144,all_128x2048,14.118386165646175,894198.9086914062,337755,165,2048
llama2_7b,c4,5,wanda,0.5,262144,all_128x2048,14.456830668822075,902200.0146484375,337755,165,2048
llama2_7b,c4,6,fc_ls,0.2,262144,all_128x2048,6.704503784958239,642673.2924804688,337755,165,2048
